,carat,cut,color,clarity,depth,table,price,x,y,z,hold
157,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,1.0
159,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,1.0
160,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,1.0
166,0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,1.0
168,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,1.0
169,0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,1.0
174,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,1.0
175,0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,1.0
178,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,1.0
182,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,1.0
183,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,1.0
186,0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,1.0
194,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,1.0
198,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,1.0
199,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,1.0
202,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,1.0
206,0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,1.0
209,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,1.0
213,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,1.0
219,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,1.0
220,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,1.0
222,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,1.0
226,0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,1.0
227,0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,1.0
230,0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,1.0
237,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,1.0
238,0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,1.0
239,0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,1.0
242,1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,1.0
244,0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,1.0
249,0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,1.0
254,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,1.0
255,1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,1.0
257,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,1.0
260,0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,1.0
261,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,1.0
263,0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,1.0
267,0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,1.0
271,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,1.0
272,0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,1.0
273,0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,1.0
275,0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,1.0
286,0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,1.0
288,0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,1.0
289,0.71,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52,1.0
291,0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31,1.0
293,0.72,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55,1.0
298,1.01,Fair,E,SI2,67.4,60.0,2797,6.19,6.05,4.13,1.0
306,0.7,Premium,E,VS1,62.2,58.0,2800,5.6,5.66,3.5,1.0
307,0.9,Very Good,I,SI2,61.3,56.0,2800,6.17,6.23,3.8,1.0
308,0.83,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76,1.0
310,0.83,Very Good,H,SI1,62.5,59.0,2800,5.95,6.02,3.74,1.0
312,0.79,Ideal,I,VS1,61.8,59.0,2800,5.92,5.95,3.67,1.0
316,0.73,Ideal,F,VS2,62.5,55.0,2801,5.8,5.76,3.61,1.0
319,0.71,Premium,F,VS2,62.1,58.0,2801,5.7,5.67,3.53,1.0
325,0.87,Very Good,G,SI2,59.9,58.0,2802,6.19,6.23,3.72,1.0
334,0.71,Premium,F,VS2,62.6,58.0,2803,5.7,5.67,3.56,1.0
336,0.71,Premium,G,VS1,62.4,61.0,2803,5.7,5.65,3.54,1.0
337,0.77,Premium,G,VS2,61.3,57.0,2803,5.93,5.88,3.62,1.0
340,0.71,Very Good,G,VS1,63.5,55.0,2803,5.66,5.64,3.59,1.0
355,0.73,Ideal,E,SI2,61.8,58.0,2805,5.77,5.81,3.58,1.0
358,0.72,Ideal,G,VS2,62.8,56.0,2805,5.74,5.7,3.59,1.0
360,0.82,Good,G,VS2,64.0,57.0,2805,5.92,5.89,3.78,1.0
364,0.71,Very Good,F,VS1,62.2,58.0,2807,5.66,5.72,3.54,1.0
365,0.71,Very Good,F,VS1,60.0,57.0,2807,5.84,5.9,3.52,1.0
366,0.93,Premium,J,SI2,61.9,57.0,2807,6.21,6.19,3.84,1.0
368,0.7,Very Good,F,VS1,62.0,57.0,2808,5.64,5.71,3.52,1.0
376,1.2,Fair,F,I1,64.6,56.0,2809,6.73,6.66,4.33,1.0
380,0.7,Good,F,VS1,62.8,61.0,2810,5.57,5.61,3.51,1.0
382,0.75,Very Good,F,SI1,63.4,58.0,2811,5.72,5.76,3.64,1.0
384,1.0,Fair,J,VS2,65.7,59.0,2811,6.14,6.07,4.01,1.0
386,0.7,Very Good,G,VS1,63.0,60.0,2812,5.57,5.64,3.53,1.0
389,0.7,Very Good,F,VS2,61.7,58.0,2812,5.63,5.69,3.49,1.0
390,0.32,Premium,I,SI1,62.7,58.0,554,4.37,4.34,2.73,1.0
393,0.32,Premium,I,SI1,61.0,59.0,554,4.39,4.36,2.67,1.0
399,0.3,Very Good,H,SI1,63.3,56.0,554,4.29,4.27,2.71,1.0
402,0.3,Very Good,H,SI1,63.4,60.0,554,4.25,4.23,2.69,1.0
403,0.32,Good,I,SI1,63.9,55.0,554,4.36,4.34,2.78,1.0
406,0.29,Very Good,E,VS1,62.4,55.0,555,4.2,4.25,2.63,1.0
408,0.34,Ideal,H,VS2,61.5,56.0,555,4.47,4.5,2.76,1.0
414,0.35,Ideal,G,SI1,60.6,56.0,555,4.56,4.58,2.77,1.0
417,0.36,Ideal,I,VS2,61.9,56.0,556,4.54,4.57,2.82,1.0
418,0.3,Ideal,G,VS2,62.0,56.0,556,4.28,4.3,2.66,1.0
419,0.26,Ideal,E,VS1,61.5,57.0,556,4.09,4.12,2.52,1.0
420,0.7,Very Good,F,VS2,62.3,58.0,2812,5.64,5.72,3.54,1.0
422,0.71,Ideal,D,SI1,62.4,57.0,2812,5.69,5.72,3.56,1.0
426,0.91,Premium,G,SI2,59.8,58.0,2813,6.3,6.29,3.77,1.0
430,0.76,Ideal,E,SI1,61.7,57.0,2814,5.88,5.85,3.62,1.0
433,0.76,Very Good,F,SI2,58.5,62.0,2815,5.93,6.01,3.49,1.0
436,0.7,Ideal,H,SI1,61.4,56.0,2815,5.7,5.76,3.52,1.0
440,0.95,Fair,F,SI2,56.0,60.0,2815,6.62,6.53,3.68,1.0
441,0.89,Premium,H,SI2,60.2,59.0,2815,6.26,6.23,3.76,1.0
442,0.72,Premium,E,VS2,58.3,58.0,2815,5.99,5.92,3.47,1.0
443,0.96,Fair,E,SI2,53.1,63.0,2815,6.73,6.65,3.55,1.0
445,0.78,Very Good,I,VVS2,61.4,56.0,2816,5.91,5.95,3.64,1.0
446,0.61,Ideal,G,VVS2,60.1,57.0,2816,5.52,5.54,3.32,1.0
447,0.71,Good,D,VS1,63.4,55.0,2816,5.61,5.69,3.58,1.0
449,0.87,Ideal,H,SI2,62.7,56.0,2816,6.16,6.13,3.85,1.0
458,0.71,Ideal,E,SI1,61.3,55.0,2817,5.77,5.72,3.52,1.0
460,0.9,Ideal,J,VS2,62.8,55.0,2817,6.2,6.16,3.88,1.0
461,0.71,Good,E,SI1,62.8,64.0,2817,5.6,5.54,3.5,1.0
463,0.7,Premium,E,VS2,59.3,60.0,2818,5.78,5.73,3.41,1.0
466,0.86,Premium,F,SI2,59.3,62.0,2818,6.36,6.22,3.73,1.0
470,0.7,Premium,F,VS2,61.8,60.0,2818,5.69,5.64,3.5,1.0
472,1.0,Fair,H,SI2,65.3,62.0,2818,6.34,6.12,4.08,1.0
473,0.72,Very Good,G,VS1,63.8,58.0,2819,5.64,5.68,3.61,1.0
476,0.86,Good,F,SI2,64.3,60.0,2819,5.97,5.95,3.83,1.0
478,0.75,Ideal,E,SI1,62.0,57.0,2821,5.8,5.78,3.59,1.0
479,0.73,Premium,E,VS2,61.6,59.0,2821,5.77,5.73,3.54,1.0
482,0.73,Good,E,SI1,63.6,57.0,2821,5.72,5.7,3.63,1.0
484,0.73,Premium,E,SI1,62.2,59.0,2821,5.77,5.68,3.56,1.0
486,0.73,Very Good,E,SI1,63.2,58.0,2821,5.76,5.7,3.62,1.0
487,0.7,Premium,E,VS1,60.8,60.0,2822,5.74,5.71,3.48,1.0
488,0.72,Premium,E,VS2,60.3,59.0,2822,5.84,5.8,3.51,1.0
489,0.72,Premium,E,VS2,60.9,60.0,2822,5.8,5.76,3.52,1.0
495,0.71,Premium,D,SI1,62.7,60.0,2822,5.71,5.67,3.57,1.0
496,0.71,Premium,D,SI1,61.3,58.0,2822,5.75,5.73,3.52,1.0
503,0.7,Ideal,D,SI1,59.7,58.0,2822,5.82,5.77,3.46,1.0
504,0.7,Good,E,SI1,61.4,64.0,2822,5.71,5.66,3.49,1.0
505,0.7,Ideal,D,SI1,62.5,57.0,2822,5.62,5.59,3.51,1.0
506,0.7,Ideal,D,SI1,61.8,56.0,2822,5.73,5.63,3.51,1.0
507,0.7,Premium,E,VS2,60.7,62.0,2822,5.72,5.68,3.46,1.0
508,0.7,Premium,F,VS2,60.6,58.0,2822,5.8,5.72,3.49,1.0
511,0.9,Good,I,SI1,63.8,57.0,2823,6.06,6.13,3.89,1.0
514,0.9,Fair,H,SI2,65.8,54.0,2823,6.05,5.98,3.96,1.0
518,0.74,Good,E,VS1,63.1,58.0,2824,5.73,5.75,3.62,1.0
525,1.17,Premium,J,I1,60.2,61.0,2825,6.9,6.83,4.13,1.0
526,0.91,Fair,H,SI2,61.3,67.0,2825,6.24,6.19,3.81,1.0
533,0.9,Very Good,I,SI2,63.5,56.0,2826,6.17,6.07,3.88,1.0
539,0.7,Ideal,H,VVS1,61.6,57.0,2827,5.69,5.74,3.52,1.0
540,0.7,Ideal,H,VVS1,62.3,55.0,2827,5.66,5.7,3.54,1.0
546,0.72,Ideal,F,VS1,61.7,57.0,2829,5.77,5.74,3.55,1.0
547,0.75,Premium,E,SI2,61.9,57.0,2829,5.88,5.82,3.62,1.0
548,0.8,Premium,E,SI2,60.2,57.0,2829,6.05,6.01,3.63,1.0
549,0.71,Very Good,E,VS2,62.7,59.0,2830,5.65,5.7,3.56,1.0
550,0.77,Very Good,H,SI1,61.7,56.0,2830,5.84,5.89,3.62,1.0
551,0.97,Ideal,F,I1,60.7,56.0,2830,6.41,6.43,3.9,1.0
558,0.75,Ideal,E,SI1,61.4,57.0,2831,5.82,5.87,3.59,1.0
559,0.72,Premium,E,SI1,62.1,58.0,2831,5.73,5.76,3.57,1.0
560,0.79,Ideal,G,SI1,61.8,56.0,2831,5.93,5.91,3.66,1.0
564,0.81,Premium,G,SI1,63.0,60.0,2832,5.87,5.81,3.68,1.0
565,0.82,Ideal,H,SI1,62.5,57.0,2832,5.91,5.97,3.71,1.0
567,0.9,Good,J,SI1,64.3,63.0,2832,6.05,6.01,3.88,1.0
569,0.56,Very Good,E,IF,61.0,59.0,2833,5.28,5.34,3.24,1.0
570,0.7,Very Good,D,VS2,59.6,61.0,2833,5.77,5.8,3.45,1.0
571,0.7,Ideal,D,VS2,61.0,57.0,2833,5.74,5.76,3.51,1.0
573,0.85,Ideal,H,SI2,62.5,57.0,2833,6.02,6.07,3.78,1.0
578,0.53,Ideal,F,VVS1,61.4,57.0,2834,5.2,5.23,3.2,1.0
583,0.73,Ideal,F,VS1,61.2,56.0,2835,5.89,5.81,3.58,1.0
586,0.72,Ideal,E,VS2,62.8,57.0,2835,5.71,5.73,3.59,1.0
587,0.72,Ideal,E,SI1,61.0,57.0,2835,5.78,5.8,3.53,1.0
596,0.72,Premium,F,VS1,58.8,60.0,2838,5.91,5.89,3.47,1.0
597,0.7,Premium,F,VS2,62.3,58.0,2838,5.72,5.64,3.54,1.0
598,0.7,Premium,F,VS2,61.7,58.0,2838,5.69,5.63,3.49,1.0
601,0.7,Very Good,E,SI1,63.5,59.0,2838,5.53,5.49,3.5,1.0
613,0.73,Ideal,G,VS2,61.8,54.0,2839,5.8,5.82,3.59,1.0
618,0.79,Premium,G,VS2,59.3,62.0,2839,6.09,6.01,3.59,1.0
622,0.7,Ideal,F,SI1,61.0,56.0,2840,5.75,5.8,3.52,1.0
624,0.92,Ideal,D,SI2,61.9,56.0,2840,6.27,6.2,3.86,1.0
626,0.7,Premium,H,VVS1,59.2,60.0,2840,5.87,5.78,3.45,1.0
631,0.82,Ideal,F,SI2,62.3,56.0,2841,5.96,6.02,3.73,1.0
632,0.82,Very Good,F,SI2,59.7,57.0,2841,6.12,6.14,3.66,1.0
633,0.52,Ideal,F,VVS1,61.2,56.0,2841,5.19,5.21,3.18,1.0
636,0.73,Ideal,D,SI1,61.4,57.0,2841,5.76,5.8,3.55,1.0
638,0.73,Premium,G,VS1,61.4,58.0,2841,5.82,5.77,3.56,1.0
644,0.81,Very Good,F,SI2,63.2,58.0,2843,5.91,5.92,3.74,1.0
645,0.71,Very Good,D,SI1,61.5,58.0,2843,5.73,5.79,3.54,1.0
647,0.73,Very Good,F,VS1,61.8,59.0,2843,5.73,5.79,3.56,1.0
651,0.73,Very Good,E,SI1,57.7,61.0,2844,5.92,5.96,3.43,1.0
653,1.01,Ideal,I,I1,61.5,57.0,2844,6.45,6.46,3.97,1.0
655,0.79,Ideal,H,VS2,62.5,57.0,2844,5.91,5.93,3.7,1.0
659,1.27,Premium,H,SI2,59.3,61.0,2845,7.12,7.05,4.2,1.0
660,0.79,Ideal,D,SI1,61.5,56.0,2846,5.96,5.91,3.65,1.0
663,1.01,Fair,H,SI2,65.4,59.0,2846,6.3,6.26,4.11,1.0
668,0.77,Premium,E,SI1,62.9,59.0,2846,5.84,5.79,3.66,1.0
671,0.84,Very Good,H,SI1,61.2,57.0,2847,6.1,6.12,3.74,1.0
677,0.79,Good,E,SI1,64.1,54.0,2849,5.86,5.84,3.75,1.0
679,0.7,Very Good,E,VS2,61.0,60.0,2850,5.74,5.77,3.51,1.0
684,0.66,Ideal,D,VS1,62.1,56.0,2851,5.54,5.57,3.45,1.0
686,0.86,Premium,H,SI1,62.7,59.0,2851,6.04,5.98,3.77,1.0
689,0.78,Ideal,I,VS1,61.5,57.0,2852,5.88,5.92,3.63,1.0
691,0.73,Ideal,E,SI1,62.7,55.0,2852,5.7,5.79,3.6,1.0
697,0.71,Premium,E,SI1,62.7,58.0,2853,5.73,5.66,3.57,1.0
698,0.82,Premium,I,VS1,61.9,58.0,2853,5.99,5.97,3.7,1.0
701,1.12,Premium,H,I1,59.1,61.0,2854,6.78,6.75,4.0,1.0
706,0.91,Fair,H,SI1,65.8,58.0,2854,6.04,6.01,3.96,1.0
710,1.03,Good,J,SI1,63.6,57.0,2855,6.38,6.29,4.03,1.0
711,0.74,Premium,D,VS2,62.4,57.0,2855,5.8,5.74,3.6,1.0
722,0.36,Ideal,H,SI1,61.9,55.0,556,4.57,4.59,2.83,1.0
726,0.34,Good,E,SI1,63.4,55.0,556,4.44,4.46,2.82,1.0
729,0.32,Good,E,VS2,64.1,54.0,556,4.34,4.37,2.79,1.0
730,0.31,Ideal,I,VVS1,61.6,55.0,557,4.36,4.41,2.7,1.0
731,0.31,Ideal,I,VVS1,61.3,56.0,557,4.36,4.38,2.68,1.0
733,0.31,Ideal,I,VVS1,62.0,54.0,557,4.37,4.4,2.72,1.0
734,0.31,Ideal,I,VVS1,62.7,53.0,557,4.33,4.35,2.72,1.0
737,0.31,Ideal,H,VS1,61.6,54.8,557,4.35,4.37,2.69,1.0
738,0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,1.0
742,0.33,Ideal,G,SI2,61.9,56.0,557,4.45,4.41,2.74,1.0
744,0.33,Premium,J,VS1,62.8,58.0,557,4.41,4.38,2.76,1.0
750,1.0,Fair,H,SI2,66.1,56.0,2856,6.21,5.97,4.04,1.0
752,0.77,Premium,F,SI1,61.0,58.0,2856,5.94,5.9,3.61,1.0
754,0.9,Very Good,G,SI2,63.1,58.0,2857,6.08,6.02,3.82,1.0
756,0.9,Premium,I,VS2,61.9,59.0,2857,6.2,6.14,3.82,1.0
760,0.81,Very Good,F,SI1,61.7,57.0,2858,6.0,6.05,3.72,1.0
766,0.76,Ideal,E,SI1,62.7,54.0,2858,5.88,5.83,3.67,1.0
769,0.7,Good,E,VVS2,63.6,62.0,2858,5.61,5.58,3.56,1.0
773,0.7,Premium,D,VS2,62.4,56.0,2859,5.72,5.66,3.55,1.0
775,0.71,Ideal,G,VS1,61.5,56.0,2859,5.74,5.78,3.54,1.0
780,0.9,Very Good,J,SI2,63.6,58.0,2860,6.07,6.1,3.87,1.0
781,0.6,Ideal,E,VVS2,61.9,54.9,2860,5.41,5.44,3.35,1.0
783,0.53,Ideal,F,VVS1,61.4,57.0,2860,5.23,5.2,3.2,1.0
786,0.62,Ideal,G,VVS2,61.6,56.0,2861,5.48,5.51,3.38,1.0
789,0.82,Premium,E,SI2,61.7,59.0,2861,6.01,5.98,3.7,1.0
790,0.66,Premium,D,VS1,61.0,58.0,2861,5.67,5.57,3.43,1.0
792,0.8,Very Good,F,SI1,62.6,58.0,2862,5.9,5.92,3.7,1.0
797,0.7,Very Good,E,VS2,58.7,63.0,2862,5.73,5.69,3.35,1.0
798,0.79,Premium,H,VS1,60.0,60.0,2862,6.07,5.99,3.64,1.0
799,0.7,Premium,E,VS2,59.5,59.0,2862,5.82,5.77,3.45,1.0
801,1.01,Fair,E,SI2,67.6,57.0,2862,6.21,6.11,4.18,1.0
807,0.71,Premium,D,SI1,61.0,61.0,2863,5.82,5.75,3.53,1.0
812,0.71,Premium,D,SI1,60.6,58.0,2863,5.79,5.77,3.5,1.0
814,0.9,Premium,J,VS2,59.8,62.0,2863,6.24,6.21,3.72,1.0
817,0.72,Ideal,F,VS2,59.5,57.0,2863,5.91,5.86,3.5,1.0
823,0.56,Very Good,D,VVS1,62.0,56.0,2866,5.25,5.3,3.27,1.0
830,0.71,Ideal,H,VVS1,60.4,57.0,2867,5.78,5.81,3.5,1.0
832,0.95,Premium,F,SI2,58.4,57.0,2867,6.49,6.41,3.77,1.0
840,0.72,Ideal,I,VS1,62.4,55.0,2868,5.72,5.75,3.58,1.0
841,0.62,Ideal,G,IF,60.5,57.0,2868,5.52,5.56,3.35,1.0
844,1.08,Premium,D,I1,61.9,60.0,2869,6.55,6.48,4.03,1.0
848,0.72,Ideal,H,VVS2,60.9,57.0,2869,5.79,5.77,3.52,1.0
850,0.83,Ideal,E,SI2,62.2,57.0,2870,6.0,6.05,3.75,1.0
854,0.72,Ideal,F,SI1,61.5,56.0,2870,5.72,5.79,3.54,1.0
858,0.73,Very Good,E,SI1,61.3,58.0,2871,5.76,5.83,3.55,1.0
864,0.75,Very Good,D,SI1,60.7,55.0,2872,5.87,5.92,3.58,1.0
865,1.02,Ideal,I,I1,61.7,56.0,2872,6.44,6.49,3.99,1.0
866,0.7,Very Good,G,SI2,59.0,62.0,2872,5.79,5.81,3.42,1.0
868,0.7,Good,E,SI1,61.4,64.0,2872,5.66,5.71,3.49,1.0
869,0.7,Ideal,D,SI1,61.4,54.0,2872,5.71,5.75,3.52,1.0
871,0.7,Very Good,D,SI1,60.2,60.0,2872,5.75,5.82,3.48,1.0
875,0.76,Very Good,F,VS2,62.0,58.0,2873,5.8,5.86,3.62,1.0
880,0.9,Fair,I,SI1,65.7,58.0,2873,6.03,6.0,3.95,1.0
881,0.9,Premium,J,SI1,61.8,58.0,2873,6.16,6.13,3.8,1.0
883,0.9,Fair,I,SI1,65.3,61.0,2873,5.98,5.94,3.89,1.0
885,0.9,Premium,J,SI1,60.9,61.0,2873,6.26,6.22,3.8,1.0
886,0.78,Premium,F,VS2,62.6,58.0,2874,5.91,5.82,3.67,1.0
895,1.0,Fair,H,SI2,67.7,60.0,2875,6.11,5.98,4.09,1.0
898,1.0,Fair,I,SI1,66.3,61.0,2875,6.08,6.03,4.01,1.0
899,1.0,Fair,H,SI2,69.5,55.0,2875,6.17,6.1,4.26,1.0
900,0.73,Premium,E,VS1,62.6,60.0,2876,5.68,5.75,3.58,1.0
902,0.72,Very Good,H,VS1,62.2,54.0,2877,5.74,5.76,3.57,1.0
904,0.74,Ideal,G,VS2,62.3,55.0,2877,5.8,5.83,3.62,1.0
906,0.7,Good,F,VS1,59.1,62.0,2877,5.82,5.86,3.44,1.0
915,0.71,Premium,F,VS1,62.7,58.0,2879,5.71,5.67,3.57,1.0
920,0.72,Ideal,F,VS1,62.0,56.0,2879,5.76,5.73,3.56,1.0
921,0.92,Very Good,J,SI2,58.7,61.0,2880,6.34,6.43,3.75,1.0
925,1.05,Premium,H,I1,62.0,59.0,2881,6.5,6.47,4.02,1.0
926,0.7,Very Good,H,IF,62.8,56.0,2882,5.62,5.65,3.54,1.0
927,0.54,Ideal,F,VVS1,61.8,56.0,2882,5.23,5.26,3.24,1.0
937,0.77,Ideal,D,SI2,61.5,55.0,2885,5.9,5.93,3.64,1.0
939,0.9,Fair,D,SI2,66.9,57.0,2885,6.02,5.9,3.99,1.0
941,0.72,Ideal,E,SI1,62.7,55.0,2886,5.64,5.69,3.55,1.0
946,0.7,Very Good,E,VS2,63.5,54.0,2889,5.62,5.66,3.58,1.0
947,0.7,Very Good,F,VS1,62.2,58.0,2889,5.64,5.75,3.54,1.0
949,0.71,Very Good,F,VS1,62.8,56.0,2889,5.69,5.72,3.58,1.0
950,0.5,Ideal,E,VVS2,62.2,54.0,2889,5.08,5.12,3.17,1.0
951,0.5,Ideal,E,VVS2,62.2,54.0,2889,5.09,5.11,3.17,1.0
953,0.77,Premium,F,VS2,61.8,56.0,2889,5.94,5.9,3.66,1.0
958,0.8,Good,F,SI1,63.8,59.0,2890,5.87,5.83,3.73,1.0
959,0.66,Ideal,G,VVS1,61.5,56.0,2890,5.61,5.58,3.44,1.0
960,0.71,Very Good,E,VS2,61.2,58.0,2891,5.71,5.79,3.52,1.0
961,0.71,Ideal,F,VS2,61.2,56.0,2891,5.73,5.77,3.52,1.0
